t	x(t)	y(t)
0.0	40.0	60.0
1.6666666666666667	41.45269869235526	45.64663977473326
3.3333333333333335	42.47746143608773	35.91989243226637
5.0	43.07428823119738	30.81975797259934
6.666666666666667	43.355871897245606	30.346236395732163
8.333333333333334	43.9639679743114	32.270026891933405
10.0	45.0	30.0
12.0	46.830880074906354	24.058452405257736
14.0	49.3235202996254	17.973928352680385
16.0	51.8764797003746	12.76619037896906
18.0	53.76911992509365	8.441547594742264
20.0	55.0	5.0
30.0	54.0	0.0
32.5	53.273872875703134	-4.569283826601964
35.0	52.34549150281253	-11.722864693592145
37.5	51.214855881328184	-17.305716173398036
40.0	50.0	-20.0
45.0	48.549208099778006	-15.0
50.0	45.0	-10.0
52.0	42.69188611699158	-12.407106781186547
54.0	39.767544467966324	-17.62842712474619
56.0	36.232455532033676	-24.37157287525381
58.0	32.80811388300842	-28.59289321881345
60.0	30.0	-30.0
62.5	27.0636104345604	-28.491116523516816
65.0	24.504441738241592	-23.964466094067262
67.5	22.3113895654396	-16.508883476483184
70.0	20.0	-10.0
72.5	17.5	-4.622779130879204
75.0	15.0	0.9911165235168156
77.5	12.5	5.872779130879204
80.0	10.0	10.0
83.33333333333333	6.666666666666671	14.329385121563025
86.66666666666666	3.333333333333343	17.31754048625211
90.0	0.0	20.0
93.33333333333333	-4.309644062711501	23.33333333333333
96.66666666666666	-8.160744349011203	26.666666666666657
100.0	-10.0	30.0
105.0	-9.344056402002256	35.0
110.0	-5.0	40.0
