t	y(t)
0.0	100.0
6.666666666666667	97.77777777777777
13.333333333333334	92.22222222222223
20.0	90.0
22.142857142857142	90.81632653061224
24.285714285714285	93.26530612244898
26.428571428571427	97.3469387755102
28.57142857142857	102.65306122448979
30.71428571428571	106.73469387755101
32.857142857142854	109.18367346938776
35.0	110.0
36.5	108.91543659920963
38.0	105.66174639683854
39.5	100.23892939288669
41.0	92.64698558735412
42.5	82.88591498024081
44.0	73.08825360316146
45.5	65.45956340079037
47.0	60.0
48.8	55.80533008588991
50.599999999999994	53.72132034355964
52.39999999999999	52.77867965644037
54.19999999999999	49.94466991411011
56.0	45.0
58.333333333333336	35.87333594346394
60.66666666666667	24.048899329411334
63.0	10.0
64.2	0.9598245749008356
65.4	-11.638421174107815
66.60000000000001	-21.839298299603506
67.80000000000001	-27.9598245749009
69.0	-30.0
70.57142857142857	-28.82446118696839
72.14285714285714	-25.297844747873558
73.71428571428571	-19.42015068271551
75.28571428571428	-11.191378991494236
76.85714285714285	-0.8450123949836605
78.42857142857142	8.253032615539754
80.0	15.0
82.0	21.422090963963463
84.0	26.506545674035664
86.0	31.34193917444918
88.0	37.50215146027896
90.0	45.0
93.33333333333333	61.151048543483
96.66666666666666	82.38197195170982
99.99999999999999	108.69277022468046
103.33333333333331	136.50156419070197
106.66666666666664	159.3610010820492
109.99999999999997	177.14056310865263
113.3333333333333	189.84025027051223
116.66666666666663	197.46006256762803
120.0	200.0
